id;i_dentidad;n_ombre;f_echaconstitucion;f_echaextincion;d_omicilio;c_odigopostal;t_elefono;e_mail;d_eu;f_echaaltaapp;f_echabajaapp;f_echaaltacenso;f_echabajacenso;n_umeroversion;f_echaversion
1;81558;Object-based;2020-04-08;2020-04-08;Quality benchmark matrix;real-time;Ergonomic Chief Corporate;supply-chains Saint Vincent and the Grenadines;Interactions niches system;2020-04-07;2020-04-07;2020-04-08;2020-04-08;73189;2020-04-07
2;4146;Communications Intelligent Soft Cheese;2020-04-08;2020-04-07;Refined Wooden Bike enterprise;Rustic Industrial;Generic;payment Practical Cotton Salad Practical Steel Gloves;Architect Mobility;2020-04-08;2020-04-07;2020-04-07;2020-04-07;16224;2020-04-08
3;79701;Product Dong Unbranded;2020-04-07;2020-04-08;white;Qatar;Credit Card Account bi-directional Arizona;National Assistant;Wooden e-business invoice;2020-04-08;2020-04-08;2020-04-07;2020-04-08;35339;2020-04-08
4;36190;firewall;2020-04-07;2020-04-08;Buckinghamshire maximized Refined;green ROI Balanced;Guam reinvent aggregate;mindshare optical;blue mobile;2020-04-08;2020-04-07;2020-04-07;2020-04-07;1780;2020-04-07
5;83977;Antigua and Barbuda Mississippi;2020-04-07;2020-04-07;4th generation Developer Louisiana;violet Metal New Jersey;wireless target bus;deposit unleash;Flats;2020-04-08;2020-04-07;2020-04-07;2020-04-07;18869;2020-04-08
6;61404;mesh calculate;2020-04-07;2020-04-07;Cotton;XSS auxiliary;hack e-tailers synergize;Administrator IB mint green;portal firewall;2020-04-07;2020-04-07;2020-04-07;2020-04-08;95789;2020-04-07
7;21982;Trinidad and Tobago Dollar;2020-04-07;2020-04-08;Concrete;invoice Assistant Architect;Generic technologies virtual;solutions Metrics;Avon Virginia;2020-04-08;2020-04-08;2020-04-07;2020-04-07;19633;2020-04-08
8;2773;Ergonomic flexibility;2020-04-07;2020-04-07;Gorgeous Steel Table connecting;compress;matrix Rial Omani program;Computers paradigms withdrawal;Group;2020-04-08;2020-04-07;2020-04-07;2020-04-07;58887;2020-04-07
9;22721;Rand Namibia Dollar Borders Kentucky;2020-04-07;2020-04-08;Refined compress;red;Burgs Berkshire feed;Forward;Rustic Beauty Dobra;2020-04-07;2020-04-07;2020-04-07;2020-04-07;99017;2020-04-08
10;64037;enhance;2020-04-08;2020-04-07;Investor Guinea-Bissau;Industrial Cambridgeshire optical;Beauty Soft;Alabama Personal Loan Account Games;Producer circuit;2020-04-07;2020-04-07;2020-04-08;2020-04-08;19042;2020-04-07
